,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,highGamma,label
227,0.385231,0.059872,0.026843,0.034612,0.028059,0.022228,0.008143,0.004115,happiness
228,0.417708,0.075759,0.039155,0.033551,0.037761,0.021338,0.008255,0.004075,happiness
229,0.509813,0.081705,0.038443,0.034463,0.037894,0.021939,0.008192,0.004133,happiness
230,0.619426,0.080914,0.033538,0.027937,0.03937,0.022271,0.007759,0.003869,happiness
231,0.608127,0.077668,0.026384,0.023551,0.03284,0.021353,0.006655,0.003686,happiness
232,0.71061,0.123515,0.080466,0.046511,0.050589,0.02642,0.011225,0.006896,happiness
233,0.928348,0.139317,0.089158,0.053294,0.054733,0.031253,0.013914,0.005997,happiness
234,0.798103,0.151411,0.092159,0.053482,0.057759,0.033977,0.013103,0.00605,happiness
235,0.766747,0.15358,0.092654,0.053631,0.05685,0.034002,0.015113,0.006772,happiness
236,0.849482,0.170622,0.093338,0.058878,0.068167,0.043453,0.017037,0.006993,happiness
237,0.878655,0.180601,0.092006,0.062373,0.069942,0.050113,0.017172,0.007413,happiness
238,0.778886,0.153205,0.074673,0.052923,0.057323,0.047127,0.015924,0.007196,happiness
239,0.658885,0.139722,0.073923,0.051118,0.05627,0.045452,0.01546,0.007032,happiness
240,0.535907,0.133083,0.073382,0.049502,0.053197,0.042948,0.015068,0.006918,happiness
241,0.522813,0.129504,0.072738,0.048809,0.05262,0.042131,0.014596,0.006867,happiness
242,0.28436,0.174453,0.026224,0.016035,0.009597,0.011647,0.015692,0.006581,happiness
243,0.430919,0.214233,0.05129,0.020794,0.016637,0.03087,0.023134,0.01263,happiness
244,0.465117,0.216397,0.052419,0.021195,0.017277,0.031199,0.02373,0.01318,happiness
245,0.653614,0.264996,0.078427,0.024842,0.021331,0.044893,0.030174,0.020425,happiness
246,0.753831,0.271922,0.080559,0.026258,0.021961,0.046768,0.03091,0.021426,happiness
247,0.835449,0.281376,0.080956,0.027357,0.02261,0.047956,0.032016,0.021543,happiness
248,0.929299,0.287456,0.090182,0.031579,0.025927,0.051305,0.033396,0.023965,happiness
249,0.9775,0.30858,0.105675,0.036036,0.030027,0.055282,0.034483,0.029097,happiness
250,0.98915,0.310518,0.105914,0.036012,0.030298,0.055116,0.03443,0.029119,happiness
251,1.112632,0.197308,0.112378,0.026507,0.02861,0.059068,0.033569,0.031227,happiness
252,1.208266,0.217962,0.112381,0.030596,0.028662,0.063321,0.03749,0.033711,happiness
253,1.11372,0.182434,0.087832,0.026172,0.022284,0.04449,0.031061,0.0278,happiness
254,1.186801,0.195242,0.089335,0.027023,0.022848,0.044911,0.03131,0.02779,happiness
255,1.196015,0.180423,0.072476,0.036911,0.020759,0.042657,0.028236,0.023282,happiness
256,1.211247,0.185023,0.074705,0.039255,0.023452,0.050759,0.032392,0.024108,happiness
257,1.248072,0.202757,0.075632,0.040778,0.02529,0.05441,0.035696,0.024835,happiness
258,1.332737,0.208287,0.072513,0.046814,0.026589,0.063463,0.036587,0.023469,happiness
259,1.424885,0.20909,0.061757,0.048291,0.026354,0.058812,0.036381,0.018597,happiness
260,1.568289,0.296717,0.109359,0.057396,0.035353,0.065453,0.041577,0.026327,happiness
261,1.325855,0.333744,0.099028,0.058105,0.032344,0.059704,0.035721,0.020461,happiness
262,1.341771,0.305423,0.096317,0.054039,0.032756,0.056394,0.032089,0.0185,happiness
263,1.370518,0.311698,0.098288,0.055299,0.032375,0.057991,0.032965,0.019631,happiness
264,1.2843,0.29916,0.096292,0.054307,0.031322,0.057617,0.032364,0.019213,happiness
265,1.142481,0.272919,0.097233,0.042733,0.030257,0.047691,0.031529,0.01709,happiness
266,1.035796,0.269606,0.094377,0.039114,0.027143,0.037983,0.027103,0.015356,happiness
267,0.936835,0.243544,0.0935,0.036836,0.024978,0.033535,0.022907,0.014713,happiness
268,0.78537,0.236159,0.08781,0.027617,0.024073,0.025508,0.02413,0.015567,happiness
269,0.625338,0.213277,0.08064,0.022646,0.025179,0.024405,0.02268,0.016163,happiness
270,0.560744,0.141413,0.032282,0.020482,0.018848,0.021516,0.021924,0.012831,happiness
271,0.513967,0.103942,0.026072,0.021818,0.018489,0.021567,0.020922,0.013791,happiness
272,0.488394,0.099138,0.025884,0.021578,0.017265,0.02023,0.019593,0.012644,happiness
273,0.489919,0.12041,0.024998,0.02072,0.017752,0.020397,0.018841,0.012035,happiness
274,0.513055,0.124121,0.026748,0.024935,0.02384,0.027375,0.02141,0.014007,happiness
275,0.63998,0.143835,0.01941,0.027059,0.025596,0.027161,0.020377,0.01405,happiness
276,0.658944,0.137245,0.018765,0.027355,0.025876,0.028279,0.02055,0.014203,happiness
277,0.812333,0.170005,0.038275,0.033547,0.029386,0.036576,0.02516,0.016922,happiness
278,0.800633,0.164347,0.036653,0.033215,0.025587,0.033006,0.020587,0.016271,happiness
279,1.064719,0.181634,0.038772,0.035349,0.02822,0.035549,0.024619,0.018754,happiness
280,1.089479,0.169838,0.048918,0.029197,0.028497,0.035533,0.023107,0.01622,happiness
281,1.208349,0.226934,0.070702,0.033364,0.038201,0.04596,0.033163,0.016122,happiness
282,1.246665,0.249871,0.073272,0.036394,0.042353,0.048899,0.037679,0.018298,happiness
283,1.467485,0.292688,0.116492,0.062727,0.065045,0.059648,0.058872,0.023457,happiness
284,1.630461,0.29457,0.127987,0.060844,0.062503,0.055527,0.060777,0.023145,happiness
285,1.486281,0.270363,0.127071,0.058229,0.060742,0.055233,0.061684,0.02281,happiness
286,1.461492,0.275638,0.126968,0.058567,0.060497,0.054091,0.061321,0.022843,happiness
287,1.427417,0.255312,0.110747,0.060489,0.061049,0.047703,0.059463,0.021232,happiness
288,1.500651,0.296759,0.114416,0.059917,0.06326,0.050449,0.060786,0.022107,happiness
289,1.26587,0.296097,0.111741,0.055571,0.05723,0.051702,0.058158,0.019062,happiness
290,1.201532,0.298467,0.109895,0.055119,0.055769,0.048288,0.055987,0.017576,happiness
291,1.170673,0.252369,0.098442,0.055164,0.048438,0.042167,0.049378,0.020195,happiness
292,1.053565,0.231599,0.09419,0.052081,0.044079,0.040597,0.045986,0.018108,happiness
293,0.828145,0.183221,0.057894,0.027668,0.022388,0.031637,0.026645,0.013255,happiness
294,0.637008,0.180149,0.044917,0.025965,0.0198,0.029212,0.023343,0.011722,happiness
295,0.67032,0.211631,0.054678,0.025977,0.021833,0.030263,0.022275,0.012563,happiness
296,0.873477,0.288563,0.065136,0.032285,0.031191,0.03812,0.028944,0.014463,happiness
297,0.967685,0.278488,0.062406,0.026676,0.028008,0.037532,0.027337,0.013868,happiness
298,0.879328,0.219454,0.057385,0.02593,0.025065,0.033473,0.024797,0.011544,happiness
